uni,name,rank,city,region,priority
"AYDIN ADNAN MENDERES ÜNİVERSİTESİ
(Devlet Üniversitesi)",İngilizce Öğretmenliği (İngilizce),14370.0,AYDIN,EGE,1
"SÜLEYMAN DEMİREL ÜNİVERSİTESİ
(ISPARTA) (Devlet Üniversitesi)",İngilizce Öğretmenliği,14659.0,ISPARTA,AKDENIZ,1
"ALANYA ALAADDİN KEYKUBAT
ÜNİVERSİTESİ (ANTALYA) (Devlet
Üniversitesi)",İngilizce Öğretmenliği,15685.0,ANTALYA,AKDENIZ,1
"NECMETTİN ERBAKAN ÜNİVERSİTESİ
(KONYA) (Devlet Üniversitesi)",İngilizce Öğretmenliği,16226.0,KONYA,IC ANADOLU,1
"BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ
(Devlet Üniversitesi)",İngilizce Öğretmenliği,16262.0,BOLU,KARADENIZ,1
SAKARYA ÜNİVERSİTESİ (Devlet Üniversitesi),İngilizce Öğretmenliği (İngilizce),16804.0,SAKARYA,MARMARA,1
"TRABZON ÜNİVERSİTESİ (Devlet
Üniversitesi)",İngilizce Öğretmenliği,19592.0,TRABZON,KARADENIZ,1
"BURDUR MEHMET AKİF ERSOY
ÜNİVERSİTESİ (Devlet Üniversitesi)",İngilizce Öğretmenliği,20427.0,BURDUR,AKDENIZ,1
AMASYA ÜNİVERSİTESİ (Devlet Üniversitesi),İngilizce Öğretmenliği,20960.0,AMASYA,KARADENIZ,1
"ORTA DOĞU TEKNİK ÜNİVERSİTESİ
(ANKARA) (Devlet Üniversitesi)",İngilizce Öğretmenliği (İngilizce) (Burslu),21315.0,ANKARA,IC ANADOLU,1
"ORTA DOĞU TEKNİK ÜNİVERSİTESİ
(ANKARA) (Devlet Üniversitesi)","İngilizce Öğretmenliği (İngilizce) (UOLP-Suny
New Paltz) (Ücretli)",21470.0,ANKARA,IC ANADOLU,1
AKSARAY ÜNİVERSİTESİ (Devlet Üniversitesi),İngilizce Öğretmenliği (İngilizce),21588.0,AKSARAY,IC ANADOLU,1
BARTIN ÜNİVERSİTESİ (Devlet Üniversitesi),İngilizce Öğretmenliği (İngilizce),23307.0,BARTIN,KARADENIZ,1
"TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ
(Devlet Üniversitesi)",İngilizce Öğretmenliği,24978.0,TOKAT,KARADENIZ,1
"HATAY MUSTAFA KEMAL ÜNİVERSİTESİ
(Devlet Üniversitesi)",İngilizce Öğretmenliği,26961.0,HATAY,AKDENIZ,1
"YOZGAT BOZOK ÜNİVERSİTESİ (Devlet
Üniversitesi)",İngilizce Öğretmenliği (İngilizce),27252.0,YOZGAT,IC ANADOLU,1
BAYBURT ÜNİVERSİTESİ (Devlet Üniversitesi),İngilizce Öğretmenliği,29410.0,BAYBURT,KARADENIZ,1
"BURSA TEKNİK ÜNİVERSİTESİ (Devlet
Üniversitesi)",İngilizce Mütercim ve Tercümanlık,13282.0,BURSA,MARMARA,2
"İSTANBUL AYDIN ÜNİVERSİTESİ (Vakıf
Üniversitesi)",İngilizce Mütercim ve Tercümanlık (Burslu),15898.0,AYDIN,EGE,2
"KTO KARATAY ÜNİVERSİTESİ (KONYA) (Vakıf
Üniversitesi)",İngilizce Mütercim ve Tercümanlık (Burslu),16596.0,KONYA,IC ANADOLU,2
SAKARYA ÜNİVERSİTESİ (Devlet Üniversitesi),İngilizce Mütercim ve Tercümanlık,19146.0,SAKARYA,MARMARA,2
"ONDOKUZ MAYIS ÜNİVERSİTESİ (SAMSUN)
(Devlet Üniversitesi)",İngilizce Mütercim ve Tercümanlık,20376.0,SAMSUN,KARADENIZ,2
"BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ
(Devlet Üniversitesi)",İngilizce Mütercim ve Tercümanlık,22779.0,BOLU,KARADENIZ,2
SAMSUN ÜNİVERSİTESİ (Devlet Üniversitesi),İngilizce Mütercim ve Tercümanlık,22958.0,SAMSUN,KARADENIZ,2
"SELÇUK ÜNİVERSİTESİ (KONYA) (Devlet
Üniversitesi)",İngilizce Mütercim ve Tercümanlık,23011.0,KONYA,IC ANADOLU,2
"TRABZON ÜNİVERSİTESİ (Devlet
Üniversitesi)",İngilizce Mütercim ve Tercümanlık,27385.0,TRABZON,KARADENIZ,2
ANKARA ÜNİVERSİTESİ (Devlet Üniversitesi),Dilbilimi,17888.0,ANKARA,IC ANADOLU,3
